Nombre del indice,Anterior,Ultimo,%Diff
IBEX 35®,"9.080,50","9.157,80","0,85"
IBEX 35® con Dividendos,"25.767,20","25.986,60","0,85"
IBEX MEDIUM CAP®,"13.303,00","13.438,40","1,02"
IBEX SMALL CAP®,"6.627,30","6.653,80","0,40"
IBEX 35® Bancos,"533,10","540,60","1,41"
IBEX 35® Energía,"1.344,10","1.346,50","0,18"
IBEX 35® Construcción,"1.456,20","1.461,20","0,34"
IBEX TOP Dividendo®,"2.845,00","2.872,20","0,96"
IBEX 35® con Dividendos Netos,"21.871,50","22.057,70","0,85"
IBEX 35® Inverso,"2.672,80","2.650,00","-0,85"
IBEX 35® Doble Inverso,"411,80","404,80","-1,70"
IBEX 35® Triple Inverso,"28,30","27,60","-2,47"
IBEX 35® Inverso X5,"11.868,90","11.363,20","-4,26"
IBEX 35® Inverso X10,"410,20","375,20","-8,53"
IBEX 35® Doble Apalancado,"5.077,20","5.163,60","1,70"
IBEX 35® Doble Apalancado Bruto,"20.506,70","20.855,80","1,70"
IBEX 35® Doble Apalancado Neto,"17.538,50","17.837,00","1,70"
IBEX 35® Triple Apalancado,"997,40","1.022,90","2,56"
IBEX 35® Triple Apalancado Neto,"9.809,90","10.060,30","2,55"
IBEX 35® Apalancado Neto X5,"1.793,60","1.869,90","4,25"
IBEX 35® Apalancado Neto X10,"1.453,00","1.576,60","8,51"
IBEX 35® Capped Net Return,"21.931,30","22.118,10","0,85"
IBEX 35® Impacto Div,"173,10","173,10",- 
IBEX 35® Volatilidad Objetivo 10% Estándar,"180,60","181,90","0,72"
IBEX 35® Volatilidad Objetivo 12% Estándar,"187,10","188,70","0,86"
IBEX 35® Volatilidad Objetivo 15% Estándar,"192,30","194,30","1,04"
IBEX 35® Volatilidad Objetivo 18% Estándar,"192,10","194,50","1,25"
IBEX 35® Volatilidad Objetivo 10% Financiado,"130,10","131,00","0,69"
IBEX 35® Volatilidad Objetivo 12% Financiado,"132,70","133,80","0,83"
IBEX 35® Volatilidad Objetivo 15% Financiado,"140,90","142,40","1,06"
IBEX 35® Volatilidad Objetivo 18% Financiado,"135,00","136,70","1,26"
VIBEX®,"15,87","14,94","-5,86"
IBEX 35® Skew,"6,28","6,28","0,00"
IBEX 35® BuyWrite,"1.602,60","1.616,30","0,85"
IBEX 35® PutWrite,"1.636,06","1.643,34","0,44"
IBEX 35® Protective Put,"562,71","565,28","0,46"
IBEX 35® Venta de Strangle,"2.159,80","2.168,67","0,41"
IBEX TOP Dividendo® Rentabilidad,"6.863,20","6.928,70","0,95"
IBEX TOP Dividendo® Rentabilidad Neta,"5.802,10","5.857,50","0,95"
IBEX MEDIUM CAP® con Dividendos,"14.192,30","14.336,70","1,02"
IBEX MEDIUM CAP® con Dividendos Netos,"13.331,70","13.467,30","1,02"
IBEX SMALL CAP® con Dividendos,"9.469,60","9.510,40","0,43"
IBEX SMALL CAP® con Dividendos Netos,"9.176,60","9.215,60","0,42"
IBEX MAB® 15,"1.104,20","1.128,00","2,16"
IBEX MAB® All Share,"994,40","1.009,50","1,52"
FTSE4Good IBEX,"9.318,70","9.401,00","0,88"
FTSE4Good IBEX Total Return,"19.340,60","19.511,50","0,88"
FTSE4Good IBEX Net Return,"17.348,70","17.502,00","0,88"
FTSE Latibex All Share,"2.374,10","2.369,40","-0,20"
FTSE Latibex TOP,"5.070,50","5.079,80","0,18"
FTSE Latibex BRASIL,"11.268,60","11.291,70","0,20"
I.G.B.M.,"916,11","923,91","0,85"
I.G.B.M. Total,"3.611,47","3.642,37","0,86"
BCN GLOBAL 100 (Base 1986),"715,65","722,38","0,94"
BCN GLOBAL 100 (Base 1963),"1.839,35","1.856,63","0,94"
BCN MID 50,"22.543,27","22.755,32","0,94"
BCN PROFIT-30,"12.903,22","13.004,59","0,79"
BCN ROE-30,"20.276,10","20.445,27","0,83"
BCN PER-30,"21.225,52","21.422,83","0,93"
BCN INDEXCAT,"20.095,59","20.364,50","1,34"
BCN TOP EURO,"1.056,69","1.065,28","0,81"
BCN TOP 5,"1.072,08","1.078,90","0,64"
BILBAO,"1.407,27","1.418,50","0,80"
VALENCIA,"1.210,18","1.219,94","0,81"
Índice TEF Apalancado X3,"2.502,70","2.529,80","1,08"
Índice SAN Apalancado X3,"2.544,10","2.639,50","3,75"
Índice BBVA Apalancado X3,"1.532,60","1.604,80","4,71"
Índice ITX Apalancado X3,"4.144,00","4.188,90","1,08"
Índice TEF Apalancado X5,"67,90","69,10","1,77"
Índice SAN Apalancado X5,"539,80","573,50","6,24"
Índice BBVA Apalancado X5,"66,90","72,20","7,92"
Índice ITX Apalancado X5,"916,80","933,40","1,81"
Índice TEF Inverso X3,"3.440,00","3.401,00","-1,13"
Índice SAN Inverso X3,"705,00","678,20","-3,80"
Índice BBVA Inverso X3,"1.869,40","1.780,40","-4,76"
Índice ITX Inverso X3,"2.967,20","2.933,50","-1,14"
Índice TEF Inverso X5,"606,00","594,50","-1,90"
Índice SAN Inverso X5,"21,80","20,40","-6,42"
Índice BBVA Inverso X5,"132,50","122,00","-7,92"
Índice ITX Inverso X5,"541,80","531,50","-1,90"
